neg,neu,pos,compound
0.0,0.779,0.221,0.1779
0.143,0.857,0.0,-0.128
0.073,0.865,0.062,-0.1027
0.271,0.729,0.0,-0.3818
0.326,0.674,0.0,-0.8655
0.0,1.0,0.0,0.0
0.0,0.779,0.221,0.4549
0.0,1.0,0.0,0.0
0.081,0.809,0.11,0.128
0.0,1.0,0.0,0.0
0.112,0.8,0.088,-0.1531
0.0,1.0,0.0,0.0
0.0,0.914,0.086,0.1531
0.0,1.0,0.0,0.0
0.0,0.874,0.126,0.3182
0.068,0.932,0.0,-0.2411
0.0,1.0,0.0,0.0
0.0,0.784,0.216,0.357
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.184,0.727,0.089,-0.4007
0.0,1.0,0.0,0.0
0.201,0.671,0.128,-0.296
0.121,0.879,0.0,-0.0258
0.0,1.0,0.0,0.0
0.0,0.89,0.11,0.1531
0.0,0.715,0.285,0.5229
0.145,0.855,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,0.873,0.127,0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.11,0.745,0.145,-0.0
0.09,0.806,0.104,0.1531
0.0,0.914,0.086,0.1531
0.172,0.703,0.125,-0.1531
0.275,0.725,0.0,-0.4874
0.114,0.886,0.0,-0.2924
0.216,0.784,0.0,-0.296
0.0,0.796,0.204,0.3182
0.0,0.881,0.119,0.3182
0.078,0.922,0.0,-0.1139
0.0,1.0,0.0,0.0
0.0,0.796,0.204,0.5574
0.0,0.877,0.123,0.2732
0.258,0.67,0.072,-0.9081
0.099,0.901,0.0,-0.296
0.0,0.873,0.127,0.1531
0.0,0.94,0.06,0.1531
0.109,0.891,0.0,-0.296
0.124,0.787,0.09,-0.1531
0.072,0.928,0.0,-0.1779
0.0,1.0,0.0,0.0
0.0,0.848,0.152,0.3612
0.222,0.556,0.222,0.0
0.0,1.0,0.0,0.0
0.161,0.839,0.0,-0.3929
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.063,0.873,0.063,0.0
0.0,0.913,0.087,0.2603
0.0,0.862,0.138,0.34
0.18,0.765,0.055,-0.7479
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.437,0.563,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.922,0.078,0.1531
0.0,0.904,0.096,0.1531
0.091,0.826,0.083,-0.0717
0.0,0.859,0.141,0.4215
0.0,0.873,0.127,0.4404
0.1,0.9,0.0,-0.2732
0.219,0.781,0.0,-0.3907
0.096,0.807,0.098,0.0108
0.0,1.0,0.0,0.0
0.047,0.694,0.259,0.7719
0.0,0.774,0.226,0.3875
0.0,0.925,0.075,0.296
0.0,1.0,0.0,0.0
0.0,0.831,0.169,0.7579
0.0,0.94,0.06,0.1531
0.0,1.0,0.0,0.0
0.067,0.933,0.0,-0.3182
0.0,1.0,0.0,0.0
0.248,0.752,0.0,-0.765
0.0,1.0,0.0,0.0
0.331,0.422,0.247,-0.1027
0.368,0.632,0.0,-0.5423
0.0,1.0,0.0,0.0
0.06,0.94,0.0,-0.2315
0.0,0.927,0.073,0.3182
0.0,0.949,0.051,0.2235
0.0,1.0,0.0,0.0
0.185,0.732,0.083,-0.47
0.0,0.865,0.135,0.4215
0.0,0.851,0.149,0.4215
0.111,0.731,0.158,0.3716
0.0,1.0,0.0,0.0
0.127,0.629,0.244,0.4877
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.112,0.8,0.088,-0.1531
0.149,0.743,0.108,-0.1531
0.0,1.0,0.0,0.0
0.0,0.855,0.145,0.296
0.0,0.833,0.167,0.1531
0.253,0.747,0.0,-0.5256
0.0,1.0,0.0,0.0
0.0,0.913,0.087,0.2732
0.0,1.0,0.0,0.0
0.0,0.914,0.086,0.1531
0.0,0.833,0.167,0.4215
0.14,0.7,0.16,0.0516
0.0,0.667,0.333,0.3612
0.176,0.824,0.0,-0.2315
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.268,0.732,0.0,-0.296
0.219,0.781,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.255,0.745,0.0,-0.34
0.378,0.622,0.0,-0.3907
0.0,0.642,0.358,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.403,0.597,0.0,-0.4019
0.224,0.776,0.0,-0.1139
0.0,0.833,0.167,0.1531
0.0,0.455,0.545,0.5859
0.0,1.0,0.0,0.0
0.407,0.349,0.244,-0.34
0.187,0.813,0.0,-0.3182
0.216,0.784,0.0,-0.296
0.332,0.668,0.0,-0.539
0.0,0.55,0.45,0.5994
0.0,1.0,0.0,0.0
0.087,0.786,0.127,0.167
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.117,0.802,0.08,-0.3182
0.0,1.0,0.0,0.0
0.22,0.78,0.0,-0.5233
0.0,1.0,0.0,0.0
0.259,0.666,0.075,-0.7153
0.08,0.868,0.051,-0.2263
0.187,0.634,0.179,-0.0516
0.109,0.738,0.153,0.197
0.0,0.877,0.123,0.4215
0.099,0.794,0.106,0.296
0.066,0.751,0.183,0.3612
0.0,1.0,0.0,0.0
0.0,0.704,0.296,0.2732
0.0,1.0,0.0,0.0
0.0,0.606,0.394,0.4404
0.105,0.766,0.129,0.128
0.0,0.831,0.169,0.3506
0.167,0.833,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,0.794,0.206,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.842,0.158,0.4588
0.143,0.857,0.0,-0.3612
0.0,1.0,0.0,0.0
0.0,0.789,0.211,0.1531
