neg,neu,pos,compound
0.0,0.895,0.105,0.25
0.251,0.749,0.0,-0.6908
0.12,0.88,0.0,-0.3818
0.0,1.0,0.0,0.0
0.099,0.901,0.0,-0.296
0.0,0.954,0.046,0.0258
0.072,0.757,0.171,0.4556
0.131,0.707,0.162,0.1531
0.128,0.872,0.0,-0.296
0.0,1.0,0.0,0.0
0.224,0.776,0.0,-0.886
0.0,1.0,0.0,0.0
0.216,0.784,0.0,-0.5106
0.0,0.838,0.162,0.4767
0.0,1.0,0.0,0.0
0.124,0.815,0.062,-0.4939
0.208,0.792,0.0,-0.743
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.933,0.067,0.3182
0.328,0.672,0.0,-0.5994
0.0,1.0,0.0,0.0
0.104,0.896,0.0,-0.296
0.0,1.0,0.0,0.0
0.132,0.868,0.0,-0.4404
0.193,0.727,0.081,-0.7717
0.0,0.865,0.135,0.5574
0.19,0.81,0.0,-0.6908
0.258,0.604,0.137,-0.4939
0.284,0.6,0.116,-0.6369
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.394,0.606,0.0,-0.3818
0.0,0.82,0.18,0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.075,0.788,0.138,0.5023
0.0,1.0,0.0,0.0
0.0,0.702,0.298,0.1779
0.0,1.0,0.0,0.0
0.22,0.78,0.0,-0.5859
0.0,0.925,0.075,0.0772
0.0,0.924,0.076,0.4215
0.0,1.0,0.0,0.0
0.098,0.865,0.037,-0.2732
0.0,0.966,0.034,0.0772
0.0,0.682,0.318,0.4215
0.098,0.902,0.0,-0.3818
0.048,0.901,0.051,0.0258
0.092,0.839,0.069,-0.2134
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.021,0.881,0.098,0.8749
0.0,0.909,0.091,0.2732
0.0,0.949,0.051,0.0772
0.0,0.862,0.138,0.5994
0.122,0.724,0.153,0.4215
0.049,0.867,0.084,0.1124
0.088,0.828,0.084,0.1316
0.069,0.764,0.167,0.9078
0.091,0.909,0.0,-0.296
0.0,0.722,0.278,0.6124
0.097,0.837,0.067,-0.3991
0.1,0.9,0.0,-0.2732
0.0,0.926,0.074,0.5719
0.0,0.939,0.061,0.0258
0.0,1.0,0.0,0.0
0.0,0.842,0.158,0.4939
0.048,0.915,0.037,-0.2023
0.152,0.848,0.0,-0.3612
0.0,1.0,0.0,0.0
0.0,0.874,0.126,0.3182
0.108,0.892,0.0,-0.6908
0.203,0.654,0.144,-0.2263
0.234,0.532,0.234,0.0
0.0,0.649,0.351,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.801,0.199,0.9217
0.0,0.9,0.1,0.25
0.0,0.865,0.135,0.3612
0.0,0.905,0.095,0.3182
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.296
0.15,0.85,0.0,-0.3182
0.0,0.8,0.2,0.25
0.0,1.0,0.0,0.0
0.227,0.773,0.0,-0.6908
0.227,0.773,0.0,-0.8481
0.092,0.771,0.137,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
